,Unnamed: 0_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Attendu,Attendu,Attendu,AMT,AMT,Passes,Passes,Passes,Passes,Balle au pied,Balle au pied,Dribbles,Dribbles,match_info
,Joueur,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Touches,Press,Tcl,Int,Balles contrées,xG,npxG,xA,AMT,AMB,Cmp,Att,Cmp%,Prog,Balle au pied,Prog,Réussi,Tenté,
13,13 joueurs,990,2,1,0,0,15,6,1,0,736,164,17,22,15,1.3,1.3,1.0,27,3,477,592,80.6,39,491,48,11,20,Wolverhampton-Wanderers-Chelsea-19-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,5,0,3,0,547,181,15,13,22,0.3,0.3,0.3,10,0,346,431,80.3,16,348,35,10,16,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,0,1,1,23,6,0,0,865,111,16,10,16,3.2,2.4,1.5,32,1,618,735,84.1,62,584,90,5,12,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,9,2,0,0,639,183,25,16,23,0.7,0.7,0.5,13,0,406,494,82.2,25,393,25,8,11,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,3,1,0,0,13,6,0,0,794,180,21,25,7,0.9,0.9,0.3,21,6,637,705,90.4,44,590,75,8,14,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,0,1,1,23,5,2,0,758,124,18,19,5,2.9,2.2,1.7,31,1,531,634,83.8,50,573,72,11,20,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,3,1,2,2,14,4,2,0,586,168,20,12,24,2.8,1.3,1.0,25,6,377,458,82.3,43,361,57,10,16,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,3,2,0,0,20,9,1,0,722,145,22,6,18,3.8,3.8,3.0,35,4,502,592,84.8,47,458,53,22,32,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,6,5,1,1,22,12,0,0,763,191,24,15,15,3.4,2.6,2.4,40,10,583,648,90.0,47,543,77,9,14,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,1,0,0,13,6,4,0,562,127,12,18,16,1.0,1.0,0.9,22,2,306,460,66.5,28,247,38,8,14,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,6,3,3,0,470,203,17,16,24,0.3,0.3,0.3,9,0,281,357,78.7,22,263,24,9,15,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,3,2,1,1,10,3,1,0,471,202,10,15,24,1.8,1.0,0.9,15,4,270,368,73.4,21,244,23,6,7,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,1,0,0,25,4,1,0,802,100,8,4,17,2.3,2.3,1.9,43,2,596,690,86.4,66,568,68,10,15,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
13,13 joueurs,990,0,0,0,0,4,1,0,0,585,207,21,23,22,0.3,0.3,0.3,6,0,356,463,76.9,16,349,20,5,15,Wolverhampton-Wanderers-Chelsea-19-Decembre-2021-Premier-League
14,14 joueurs,990,1,1,0,0,11,5,4,0,600,168,20,20,13,1.1,1.1,0.4,11,2,365,472,77.3,35,342,36,5,11,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,6,1,3,0,322,120,9,16,16,0.3,0.3,0.3,8,0,145,227,63.9,8,151,10,9,12,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
13,13 joueurs,990,0,0,0,0,17,5,1,0,561,128,16,16,13,1.6,1.6,0.8,18,0,329,446,73.8,26,288,19,9,12,Wolverhampton-Wanderers-Chelsea-19-Decembre-2021-Premier-League
14,14 joueurs,990,1,1,0,0,23,10,2,0,941,119,14,7,11,2.7,2.7,2.5,38,2,739,827,89.4,58,701,84,8,16,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,8,1,3,0,580,188,15,28,15,0.6,0.6,0.6,11,0,388,464,83.6,30,364,43,4,12,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,4,3,3,0,522,246,27,17,18,0.4,0.4,0.4,5,0,304,411,74.0,13,278,20,10,17,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,3,2,0,0,12,4,1,0,635,123,13,11,19,1.1,1.1,0.7,17,4,416,509,81.7,28,376,38,9,16,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,2,1,0,0,11,5,4,0,567,174,20,24,17,3.4,3.4,2.2,20,4,338,434,77.9,27,339,37,7,17,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,3,1,0,0,23,8,1,0,875,97,11,20,7,2.6,2.6,1.0,26,4,648,775,83.6,67,649,88,6,13,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
13,13 joueurs,990,2,1,0,0,15,6,1,0,736,164,17,22,15,1.3,1.3,1.0,27,3,477,592,80.6,39,491,48,11,20,Wolverhampton-Wanderers-Chelsea-19-Decembre-2021-Premier-League
14,14 joueurs,990,3,1,0,0,25,10,3,0,669,134,21,14,13,2.8,2.8,1.3,34,3,429,524,81.9,48,391,56,9,21,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,2,2,0,0,28,8,0,0,681,130,11,8,10,3.0,3.0,2.1,45,4,448,540,83.0,53,418,53,9,16,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,959,0,0,0,0,9,4,2,1,551,224,22,15,28,1.2,1.2,1.0,14,0,336,428,78.5,23,346,32,6,11,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,15,4,1,0,676,125,20,29,16,1.8,1.8,1.0,19,0,453,539,84.0,21,454,32,10,20,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,0,1,1,23,6,0,0,865,111,16,10,16,3.2,2.4,1.5,32,1,618,735,84.1,62,584,90,5,12,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,4,3,0,0,19,9,2,0,765,109,14,10,9,4.4,4.4,3.0,28,8,576,665,86.6,35,590,43,10,21,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,3,1,2,0,486,178,24,14,22,0.2,0.2,0.0,5,0,254,363,70.0,9,301,15,12,21,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
13,13 joueurs,990,2,2,0,0,6,3,3,0,627,203,13,17,19,1.0,1.0,1.0,11,4,424,520,81.5,26,349,43,7,13,Wolverhampton-Wanderers-Chelsea-19-Decembre-2021-Premier-League
14,14 joueurs,990,2,2,0,0,14,3,2,0,773,152,16,16,6,1.1,1.1,1.0,23,4,561,660,85.0,44,508,44,8,13,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,3,1,0,0,12,3,1,0,416,117,14,20,15,1.9,1.9,1.1,17,4,196,305,64.3,23,198,18,7,10,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,0,1,1,20,4,1,0,740,142,18,12,15,2.5,1.8,0.9,34,2,494,613,80.6,71,511,65,10,18,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,1,0,0,6,1,0,0,537,162,17,25,30,0.6,0.6,0.6,12,2,289,395,73.2,27,272,19,6,11,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,2,2,0,0,7,3,1,0,449,122,8,18,20,1.0,1.0,1.0,11,4,234,338,69.2,18,245,20,8,11,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,4,3,0,0,20,6,0,0,788,161,13,13,11,2.5,2.5,2.4,32,6,536,659,81.3,51,528,48,18,24,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,1,0,0,8,1,4,0,431,149,18,25,17,0.6,0.6,0.4,13,2,183,297,61.6,18,199,20,8,14,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,959,0,0,0,0,12,3,6,1,519,78,10,17,15,1.5,1.5,1.5,20,0,343,437,78.5,25,310,29,8,15,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,6,2,0,0,405,232,22,27,21,0.5,0.5,0.4,9,0,171,270,63.3,12,179,18,9,16,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,6,2,0,0,333,153,16,19,11,0.3,0.3,0.3,7,0,148,239,61.9,5,171,7,3,4,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,0,0,0,11,4,3,0,371,134,18,11,16,0.7,0.7,0.5,18,1,174,265,65.7,23,167,15,6,16,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
12,12 joueurs,990,2,1,0,0,19,8,2,0,852,135,13,6,13,2.1,2.1,1.1,29,3,664,744,89.2,55,625,83,5,12,Chelsea-Burnley-6-Novembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,5,0,3,0,547,181,15,13,22,0.3,0.3,0.3,10,0,346,431,80.3,16,348,35,10,16,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,1,0,0,14,2,2,0,445,133,22,24,20,1.3,1.3,0.8,21,2,240,316,75.9,28,237,25,9,15,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,944,0,0,0,0,14,3,2,1,805,150,15,11,9,1.1,1.1,1.0,20,0,601,711,84.5,49,578,100,7,15,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,7,5,0,0,31,15,1,0,748,118,14,10,9,3.6,3.6,2.8,53,11,577,641,90.0,47,512,103,9,21,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,958,1,1,0,0,7,2,5,1,363,202,23,17,11,1.0,1.0,0.3,8,2,192,280,68.6,21,210,24,11,15,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
13,13 joueurs,990,2,2,0,0,6,3,3,0,627,203,13,17,19,1.0,1.0,1.0,11,4,424,520,81.5,26,349,43,7,13,Wolverhampton-Wanderers-Chelsea-19-Decembre-2021-Premier-League
12,12 joueurs,990,6,3,2,2,15,6,1,0,850,64,10,8,5,3.5,2.0,1.1,22,9,713,769,92.7,40,676,77,16,21,Chelsea-Burnley-6-Novembre-2021-Premier-League
14,14 joueurs,990,3,1,0,0,17,7,1,0,1000,110,14,11,12,2.3,2.3,1.7,24,2,820,889,92.2,61,788,100,11,20,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
15,15 joueurs,990,0,0,0,0,5,1,1,0,522,199,19,9,19,0.7,0.7,0.1,7,0,331,411,80.5,15,311,26,4,14,Newcastle-United-Chelsea-30-Octobre-2021-Premier-League
14,14 joueurs,990,1,1,0,0,9,3,0,0,463,188,23,14,22,0.9,0.9,0.9,16,1,284,356,79.8,16,251,25,4,9,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,4,3,0,0,16,4,1,0,850,115,15,10,4,2.7,2.7,1.5,21,6,695,762,91.2,57,674,102,9,15,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,5,4,0,0,25,10,1,0,879,86,11,11,5,3.8,3.8,3.2,41,8,717,808,88.7,47,677,98,8,14,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,0,1,1,9,4,2,0,624,142,17,14,15,1.3,0.6,0.5,18,2,434,531,81.7,29,434,33,12,17,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
13,13 joueurs,990,1,0,1,1,23,8,3,0,890,112,11,9,8,3.5,2.7,2.3,40,2,716,807,88.7,62,713,115,8,19,Wolverhampton-Wanderers-Chelsea-19-Decembre-2021-Premier-League
14,14 joueurs,990,2,0,0,0,16,6,1,0,898,154,12,10,11,2.0,2.0,1.0,25,1,707,799,88.5,52,629,83,9,17,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,5,1,1,0,378,80,12,17,10,0.4,0.4,0.3,7,0,230,296,77.7,13,226,23,8,13,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,6,1,1,0,501,181,18,10,25,0.8,0.8,0.7,9,0,313,390,80.3,18,275,20,5,7,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,16,1,0,0,720,121,17,14,14,1.1,1.1,0.9,26,0,512,600,85.3,39,530,49,12,20,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,15,5,3,0,554,128,16,12,6,1.8,1.8,0.9,23,0,363,452,80.3,28,380,44,11,14,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,4,3,0,0,22,11,0,0,622,186,12,12,20,3.2,3.2,0.9,26,5,427,513,83.2,44,379,39,8,15,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,4,4,0,1,19,7,2,0,482,131,22,26,10,2.2,1.5,1.3,31,5,255,377,67.6,30,232,31,4,10,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,4,3,0,0,21,6,1,0,786,90,16,8,14,2.2,2.2,0.9,35,7,602,679,88.7,48,586,105,4,7,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,1,0,0,13,6,1,0,847,104,8,17,18,0.9,0.9,0.9,24,2,631,737,85.6,66,566,68,7,19,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,0,1,1,23,5,2,0,758,124,18,19,5,2.9,2.2,1.7,31,1,531,634,83.8,50,573,72,11,20,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,1,27,4,2,0,565,102,17,17,9,2.4,1.6,1.4,46,0,334,430,77.7,28,325,52,13,15,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,9,0,2,0,688,128,25,18,12,0.7,0.7,0.5,16,0,488,597,81.7,35,496,54,13,22,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,1,0,0,13,8,3,0,437,146,21,15,25,1.1,1.1,0.9,20,2,194,306,63.4,19,239,27,9,18,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,9,2,3,0,648,148,17,18,15,0.8,0.8,0.6,16,0,426,534,79.8,35,403,59,15,19,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
15,15 joueurs,990,0,0,0,0,5,1,1,0,522,199,19,9,19,0.7,0.7,0.1,7,0,331,411,80.5,15,311,26,4,14,Newcastle-United-Chelsea-30-Octobre-2021-Premier-League
14,14 joueurs,990,1,1,0,1,12,3,0,0,542,181,18,12,18,1.6,0.8,0.5,20,2,340,416,81.7,34,319,32,8,13,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,5,5,0,0,16,8,1,0,575,158,12,17,13,1.5,1.5,1.4,26,10,359,443,81.0,31,361,49,19,33,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,1,0,0,17,3,2,0,709,150,19,8,16,1.1,1.1,0.9,33,2,480,588,81.6,40,393,53,5,14,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,2,1,0,0,18,6,0,0,623,83,8,13,13,2.0,2.0,1.0,29,3,400,521,76.8,28,379,53,7,13,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,3,2,1,1,13,9,1,0,564,107,22,16,12,1.9,1.1,1.1,26,6,365,450,81.1,28,345,40,3,6,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,8,3,2,0,457,231,29,31,11,0.8,0.8,0.7,13,0,224,330,67.9,18,253,29,8,14,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,11,5,1,0,605,157,16,33,15,0.9,0.9,0.6,13,0,369,487,75.8,30,334,34,10,17,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,959,0,0,0,0,12,3,6,1,519,78,10,17,15,1.5,1.5,1.5,20,0,343,437,78.5,25,310,29,8,15,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,4,3,0,0,22,11,0,0,622,186,12,12,20,3.2,3.2,0.9,26,5,427,513,83.2,44,379,39,8,15,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,4,3,1,1,7,4,2,0,560,130,28,11,12,2.5,1.7,1.5,14,8,335,423,79.2,23,318,28,8,18,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
13,13 joueurs,990,1,0,0,0,18,5,1,0,639,174,12,27,20,1.2,1.2,0.6,22,2,376,497,75.7,47,392,47,9,20,Wolverhampton-Wanderers-Chelsea-19-Decembre-2021-Premier-League
13,13 joueurs,990,4,4,0,0,19,7,0,0,648,105,19,9,9,2.5,2.5,2.4,29,8,465,555,83.8,32,419,47,6,9,Wolverhampton-Wanderers-Chelsea-19-Decembre-2021-Premier-League
14,14 joueurs,990,2,2,0,0,13,4,1,0,521,159,27,14,12,2.0,2.0,1.5,22,3,288,389,74.0,28,320,41,10,14,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,1,0,0,9,5,1,0,727,119,18,11,21,0.8,0.8,0.7,15,2,528,611,86.4,29,513,43,8,16,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
12,12 joueurs,990,6,3,2,2,15,6,1,0,850,64,10,8,5,3.5,2.0,1.1,22,9,713,769,92.7,40,676,77,16,21,Chelsea-Burnley-6-Novembre-2021-Premier-League
14,14 joueurs,990,1,0,1,1,13,3,2,0,536,172,18,12,15,1.6,0.9,0.7,22,2,307,399,76.9,25,311,32,6,15,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,2,1,0,0,15,7,1,0,513,152,13,12,17,1.5,1.5,1.1,24,2,278,405,68.6,34,245,37,5,10,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,2,1,1,1,11,3,2,0,485,189,20,20,25,1.4,0.7,0.5,20,3,276,362,76.2,24,257,24,12,26,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,2,0,0,0,18,4,2,0,736,216,19,22,15,1.4,1.4,0.9,30,1,474,588,80.6,44,506,48,13,24,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,1,0,0,6,1,0,0,537,162,17,25,30,0.6,0.6,0.6,12,2,289,395,73.2,27,272,19,6,11,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,16,8,2,0,756,92,9,14,10,1.3,1.3,0.7,29,0,562,658,85.4,53,553,43,6,16,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
13,13 joueurs,990,4,3,0,0,18,8,0,0,581,162,21,10,26,2.4,2.4,1.4,24,6,308,448,68.8,25,271,22,11,16,Wolverhampton-Wanderers-Chelsea-19-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,6,1,1,0,501,181,18,10,25,0.8,0.8,0.7,9,0,313,390,80.3,18,275,20,5,7,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
